symbol,computed_at,current_price,past_30d_price,debt_to_equity,current_ratio,net_cash_pct,roe,fcf_yield,stage_2,dist_from_20d_high,rs_vs_spy,atr_pct
HACK,2026-07-08T16:04:24,$108.85,$95.42,,,,,,True,2.751721453280711,39.54554370243042,2.739126192773514
IBB,2026-07-08T16:04:24,$196.34,$169.40,,,,,,True,1.1926980503751192,2.817178599941185,1.896143580520947
ARKK,2026-07-08T16:04:24,$80.16,$77.23,,,,,,True,4.956121481242399,0.7058307784424844,3.414893516242149
KRE,2026-07-08T16:04:24,$73.34,$69.89,,,,,,True,4.554919529940311,1.8858278299007107,1.8396458508823421
IYT,2026-07-08T16:04:24,$86.59,$82.85,,,,,,True,2.422809981559287,-2.7839051941755972,1.7781423998133479
NVDA,2026-07-08T16:04:24,$204.12,$214.86,0.06555,3.441,0.8163041741477359,114.28799999999998,0.937216112836884,True,4.612369794201375,5.96666559339528,3.4898850739755667
XLV,2026-07-08T16:04:24,$162.30,$147.86,,,,,,True,1.9986700962471082,-7.06194473536526,1.6627931173210042
ITA,2026-07-08T16:04:24,$239.63,$229.33,,,,,,True,4.715893415761978,-10.78321054494093,2.1844615764719553
SPY,2026-07-08T16:04:24,$745.40,$748.66,,,,,,True,1.2369336015731383,0.0,1.292600128846875
XLF,2026-07-08T16:04:24,$54.97,$51.67,,,,,,True,2.862694694321682,-1.4290401591559174,1.4103759068402713
ICLN,2026-07-08T16:04:24,$19.05,$22.87,,,,,,True,12.413796611215878,-4.401867749208764,4.018692025282125
AMD,2026-07-08T16:04:24,$517.41,$503.89,0.06005,2.725,1.0046452006940745,8.062999999999999,0.8502473997263692,True,11.513853132330212,149.19321825284268,7.171117496715119
MU,2026-07-08T16:04:24,$948.80,$895.74,0.0633,3.425,1.8333878138655075,66.63799999999999,0.7129270761006488,True,24.386778035454974,120.97875330770371,9.55015041836663
MRVL,2026-07-08T16:04:24,$231.71,$208.26,0.2897,3.278,-0.7072523923519424,16.028000000000002,1.119734111898321,True,29.75930541889603,174.54953667216273,11.007174199662396
INFQ,2026-07-08T16:04:24,$11.51,$15.88,0.00836,19.739,17.465912167441342,,,,30.620855195794682,-10.354774447508008,12.61297718945428
IBM,2026-07-08T16:04:24,$302.05,$250.69,2.1116900000000003,0.796,-20.436972014404457,35.772,4.607644424032346,False,3.1270046124805746,17.431669235446037,4.013892129828632
NBIS,2026-07-08T16:04:24,$216.48,$208.06,1.32429,8.331,-0.3951679107313884,14.136000000000001,-11.185482493518851,True,27.806307509241986,128.15650509572208,12.278104138008263
INTC,2026-07-08T16:04:24,$110.24,$123.52,0.36028,2.312,-2.209482688263362,-2.911,-1.498241425598329,True,22.557082446765747,132.46343834859974,9.352159486380785
BTC,2026-07-08T16:04:24,$27.51,$33.56,,,,,,False,7.498317281098233,-14.441243779338311,3.7185828039417714
XEL,2026-07-08T16:04:24,$79.62,$80.18,1.64845,0.77,-75.39582586517345,9.59,-15.032136779605846,True,3.933391185894972,-12.292825176394453,2.14879482819326
XRP,2026-07-08T16:04:24,$12.19,$14.87,,,,,,,15.669321032704927,-28.828965991644772,4.80194705229253
RKLB,2026-07-08T16:04:24,$83.35,$143.20,0.061239999999999996,4.475,2.3900029118793547,-13.549,-0.41283599426584366,False,30.41990329986119,11.384351987322335,11.492656380219238
QBTS,2026-07-08T16:04:24,$20.64,$27.82,0.04165,21.41,7.083126249575537,-55.269999999999996,-0.8305956676403788,False,23.977901732413525,0.6662110769362677,10.428785617090968
RGTI,2026-07-08T16:04:24,$16.92,$25.07,0.011619999999999998,6.985,7.31595428572651,-57.092,-0.11041371849584633,False,28.198600921565436,-12.108199061030463,10.895267322147793
IREN,2026-07-08T16:04:24,$43.01,$59.78,1.48804,3.722,-11.39716792576757,7.729,-15.036981827664702,False,31.92179465780528,-4.219619339248592,11.26103869718737
